law_name,feature_view,model_name,policy,param,logloss,selected_rows,switched_cells,mean_realized_gain_all_rows,mean_realized_gain_selected_rows,positive_row_gain_rate,row_null_p_ge_observed,row_null_z,row_null_mean,row_null_std
full_row_context__tree_depth2_leaf5,full_row_context,tree_depth2_leaf5,threshold,-0.02,0.6522792126631738,105,735,-0.015282130512179021,-0.015282130512179021,0.42857142857142855,0.9925,0.0,-0.015282130512179021,3.558806012468949e-18
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,topfrac,0.3,0.6522898386291786,32,224,-0.015292756478183725,-0.05017935719404035,0.34375,0.9918333333333333,-2.3512683808610726,-0.003145458401005499,0.005166274584413749
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,topfrac,0.15,0.6523416754627234,16,112,-0.015344593311728525,-0.10069889360821845,0.25,0.9998333333333334,-3.2719777864907127,-0.0021279986248640735,0.0040393289775477416
episode_context__tree_depth2_leaf5,episode_context,tree_depth2_leaf5,topfrac,0.15,0.6523475307658608,16,112,-0.015350448614865965,-0.10073731903505789,0.25,0.9993333333333333,-3.322655888960096,-0.0023339342326699586,0.003917502990738482
route_reset_context__tree_depth2_leaf5,route_reset_context,tree_depth2_leaf5,topfrac,0.15,0.6523475307658608,16,112,-0.015350448614865965,-0.10073731903505789,0.25,0.9995,-3.3413898593458087,-0.0022515338765429086,0.003920199464808221
full_row_context__tree_depth2_leaf5,full_row_context,tree_depth2_leaf5,topfrac,0.15,0.6523475307658608,16,112,-0.015350448614865965,-0.10073731903505789,0.25,0.9993333333333333,-3.322655888960096,-0.0023339342326699586,0.003917502990738482
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,-0.01,0.6525968551845014,71,497,-0.015599773033506409,-0.023070086880537646,0.36619718309859156,0.8773333333333333,-1.1790886769936697,-0.009432021148982308,0.005230948277995561
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,topfrac,0.15,0.6527940740345061,16,112,-0.01579699188351127,-0.10366775923554272,0.1875,0.9998333333333334,-3.3184383259155816,-0.002145947322317272,0.004113695425521454
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,threshold,0.0,0.6528526798783141,63,441,-0.015855597727319114,-0.02642599621219852,0.3968253968253968,0.7238333333333333,-0.5986238949273974,-0.012348378384474515,0.005858802785127652
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,topfrac,0.15,0.6528819314125822,16,112,-0.01588484926158735,-0.10424432327916697,0.25,0.999,-3.0199181937819377,-0.003277898037954518,0.004174600242347874
