method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_full_transition_baseedge_mid_k4_a12_w1.00,S3,2.0767485885033126,1.794860676906941,0.26921650121383733,1.2410224080345185,1.5737948995291324,1.5659925355413669
transition_raw_topology_baseedge_mid_k8_a4_w0.35,S3,2.0794267520777514,1.7975388404813797,0.2608344394789217,1.2023831478418587,1.5764730631035713,1.5686706991158057
transition_raw_residual_baseedge_mid_k16_a12_w0.35,S3,2.081781999649588,1.7998940880532162,0.24940262564953009,1.1496852743356387,1.5788283106754077,1.5710259466876422
transition_raw_topology_baseedge_mid_k16_a4_w0.35,S3,2.084877529410491,1.8029896178141194,0.2618741524147829,1.207175970887658,1.581923840436311,1.5741214764485454
transition_full_transition_baseedge_mid_k16_a24_w0.65,S3,2.0882601337258873,1.8063722221295158,0.264353893939246,1.2186069745004267,1.5853064447517071,1.5775040807639416
transition_topology_baseedge_mid_k4_a12_w1.00,S3,2.0924724187947854,1.810584507198414,0.2629243581703294,1.212017163272982,1.5895187298206053,1.5817163658328397
transition_raw_residual_baseedge_mid_k4_a4_w0.35,S3,2.094863252985489,1.8129753413891176,0.2587135336778581,1.1926062893930531,1.591909564011309,1.5841072000235434
transition_raw_topology_baseedge_mid_k16_a24_w0.65,S3,2.0973774804160854,1.8154895688197135,0.26025738462128073,1.199723065693221,1.5944237914419053,1.5866214274541397
transition_topology_baseedge_mid_k8_a12_w0.65,S3,2.1000995524134827,1.818211640817111,0.26560073600584144,1.2243546123196105,1.5971458634393025,1.589343499451537
transition_raw_residual_baseedge_mid_k8_a24_w0.65,S3,2.1031182063060037,1.8212302947096322,0.25215757046770476,1.1623848980096636,1.6001645173318235,1.592362153344058
transition_topology_baseedge_mid_k8_a24_w1.00,S3,2.105986788158793,1.824098876562421,0.26475044727440966,1.2204349886552055,1.603033099184613,1.5952307351968473
transition_raw_residual_baseedge_mid_k4_a12_w0.65,S3,2.1063778943555582,1.8244899827591863,0.25748475226773626,1.1869419067951745,1.603424205381378,1.5956218413936125
transition_topology_baseedge_mid_k16_a4_w0.35,S3,2.108321884707677,1.8264339731113055,0.26192217720873606,1.2073973534744173,1.6053681957334969,1.5975658317457313
transition_topology_baseedge_mid_k8_a4_w0.35,S3,2.1159165822878157,1.834028670691444,0.2633638900015499,1.2140432978120228,1.6129628933136355,1.60516052932587
transition_raw_topology_baseedge_mid_k4_a4_w0.35,S3,2.117550165839508,1.8356622542431364,0.25909040453188487,1.194343572110396,1.6145964768653278,1.6067941128775622
transition_topology_baseedge_mid_k16_a24_w0.65,S3,2.119085116219955,1.8371972046235836,0.2603818785612221,1.200296952391975,1.616131427245775,1.6083290632580094
transition_raw_residual_baseedge_mid_k4_a24_w1.00,S3,2.1248247728256366,1.8429368612292651,0.2555632876020116,1.178084423336102,1.6218710838514565,1.614068719863691
transition_raw_residual_baseedge_mid_k8_a12_w0.35,S3,2.1259373006494497,1.8440493890530778,0.25036495558423494,1.15412138062001,1.6229836116752696,1.615181247687504
transition_full_transition_baseedge_mid_k8_a24_w0.65,S3,2.127301187770566,1.8454132761741944,0.25539279176061014,1.177298479091593,1.6243474987963857,1.6165451348086202
transition_raw_topology_baseedge_mid_k4_a12_w0.65,S3,2.1276924646935744,1.8458045530972023,0.2578302692419415,1.1885346557738279,1.6247387757193943,1.6169364117316287
transition_full_transition_baseedge_mid_k16_a12_w0.35,S3,2.1286677516704717,1.8467798400740996,0.25939694735554675,1.1957566597609348,1.6257140626962916,1.617911698708526
transition_full_transition_baseedge_mid_k4_a4_w0.35,S3,2.1295838774568994,1.8476959658605276,0.26223615337221606,1.2088447070085082,1.6266301884827192,1.6188278244949537
transition_raw_topology_baseedge_mid_k8_a24_w0.65,S3,2.134940367695042,1.8530524560986699,0.2544663098129602,1.1730276232841337,1.6319866787208617,1.624184314733096
transition_raw_topology_baseedge_mid_k16_a12_w0.35,S3,2.135772577519702,1.8538846659233297,0.2561095650180298,1.1806026289855518,1.632818888545522,1.6250165245577564
transition_raw_residual_baseedge_mid_k16_a24_w0.35,S3,2.1383059707778926,1.856418059181521,0.24709931207341954,1.139067560533568,1.6353522818037125,1.627549917815947
transition_full_transition_baseedge_mid_k4_a12_w0.65,S3,2.1388271279596145,1.8569392163632428,0.26089113895492,1.2026445185970702,1.6358734389854344,1.6280710749976688
transition_topology_baseedge_mid_k4_a4_w0.35,S3,2.1395508712510716,1.8576629596547,0.25702951175303707,1.1848433590566831,1.6365971822768914,1.6287948182891259
