fold,source,latent,feature_view,c,blend,target,loss
1,causal_chain__absolute__c0.3_b0.05,causal_chain,absolute,0.3,0.05,S1,0.564986823089948
1,causal_chain__absolute__c0.3_b0.05,causal_chain,absolute,0.3,0.05,S2,0.5939491798251894
1,causal_chain__absolute__c0.3_b0.05,causal_chain,absolute,0.3,0.05,S3,0.4947818111603151
1,causal_chain__absolute__c0.3_b0.05,causal_chain,absolute,0.3,0.05,S4,0.6710115921424294
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,Q1,0.6686038041588827
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,Q2,0.7312099668750015
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,Q3,0.6994009118155122
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,S1,0.5631358233901518
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,S2,0.58842733306059
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,S3,0.497610136584955
1,causal_chain__absolute__c0.3_b0.1,causal_chain,absolute,0.3,0.1,S4,0.6625853770393959
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,Q1,0.6757443871378245
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,Q2,0.7304854323831831
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,Q3,0.7130962424599243
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,S1,0.5613920986361076
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,S2,0.5855699940777667
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,S3,0.5080700711159862
1,causal_chain__absolute__c0.3_b0.2,causal_chain,absolute,0.3,0.2,S4,0.6490005146759914
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,Q1,0.6659879172922516
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,Q2,0.7316635039555032
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,Q3,0.6921880446398714
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,S1,0.5648149820231302
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,S2,0.5926450189818531
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,S3,0.4919313812565995
1,causal_chain__deviation__c0.03_b0.05,causal_chain,deviation,0.03,0.05,S4,0.6733267026216545
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,Q1,0.6676153494954068
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,Q2,0.7280432761791308
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,Q3,0.6956224240768838
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,S1,0.5625973223773736
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,S2,0.5842684135890434
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,S3,0.49057934882810644
1,causal_chain__deviation__c0.03_b0.1,causal_chain,deviation,0.03,0.1,S4,0.6665764398039118
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,Q1,0.6717520952022333
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,Q2,0.7217776323816842
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,Q3,0.7037041788572426
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,S1,0.5594808244866766
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,S2,0.572861748087808
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,S3,0.49006396704864
1,causal_chain__deviation__c0.03_b0.2,causal_chain,deviation,0.03,0.2,S4,0.654900094596165
