source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
best__deviation__c0.03_b0.1,0.6261148374922885,0.671198616046723,0.7002573547843557,0.6747450108424508,0.573680396482108,0.5804005621367095,0.5369336073670443,0.6455883147866275
cc_opportunity__deviation__c0.1_b0.05,0.6261167936275133,0.6690868848669437,0.7033036624946206,0.6775160171990012,0.5734500534614985,0.5775430027755952,0.5361999340697976,0.6457180005251363
best__deviation__c0.3_b0.05,0.6261210082718552,0.6714223337636958,0.7032714026345714,0.6756401966591499,0.5741063423199426,0.5790237402907029,0.5331511207547722,0.6462319214801517
cc_chain_interactions__absolute_plus_deviation__c0.3_b0.05,0.626155371098769,0.6700388870011804,0.7045932494334726,0.6778575147714221,0.5724861782542873,0.5775004550759231,0.536433581981268,0.6441777311738279
cc_arousal__absolute__c0.3_b0.2,0.6261609220483072,0.6640645147644819,0.6997417312221895,0.6765248924775283,0.5710277016626752,0.582804365654077,0.5391260602575804,0.6498371882996181
cc_chain_interactions__absolute__c0.03_b0.2,0.626168464528987,0.6703210208417099,0.6975081003328826,0.6767830302975358,0.5746140186428336,0.5776840276703192,0.5437347763513766,0.6425342775662508
cc_load__deviation__c0.3_b0.1,0.6261884150866112,0.6702400580713865,0.702957097999885,0.6752943553023338,0.5754439287631059,0.5775443271956836,0.5385054697887283,0.6433336684851553
cc_recovery__absolute_plus_deviation__c0.03_b0.1,0.6261937972740254,0.6725115080888711,0.699272994869194,0.6744769567583517,0.5756698414583618,0.5788091595429099,0.5382646909455823,0.6443514292549066
cc_chain_interactions__deviation__c0.1_b0.05,0.6262096908808699,0.6712756178400855,0.7025776141920953,0.677311997227211,0.5734381977124734,0.577853682883332,0.5359174514099727,0.6450932749009184
best__absolute_plus_deviation__c0.1_b0.05,0.6262304929794089,0.6719401143187603,0.7035684766362955,0.6764152257207484,0.5739692904142253,0.5789195261105416,0.5329421867065959,0.6458586309486951
cc_opportunity__absolute_plus_deviation__c0.1_b0.05,0.6262509909975745,0.6688665981293642,0.7040044763858081,0.6781475292332049,0.5734181875501493,0.5775499948836621,0.5363205630883044,0.6454495877125287
cc_chain_interactions__absolute_plus_deviation__c0.1_b0.05,0.6262576303210678,0.6706708144726523,0.7037096216401052,0.6778627197214225,0.5731103755639879,0.5775498867159876,0.536211555381488,0.644688438751831
cc_load__deviation__c0.3_b0.2,0.6262578264868003,0.6687892351551767,0.7021631125294506,0.6735895123573694,0.5765597378107901,0.5774817263735212,0.5440159556870053,0.6412055054942893
cc_chain_interactions__absolute__c0.3_b0.05,0.6262638950723635,0.6707178275252158,0.7029804027566671,0.6777933810304141,0.5732037659544874,0.5776618400446415,0.5370345116955839,0.6444555364995346
best__absolute__c0.1_b0.05,0.6262859697521088,0.6715403710132142,0.7021126331993713,0.6760543729416308,0.5753144523835034,0.5787911112371787,0.5343509829181599,0.6458378645717037
cc_recovery__deviation__c0.3_b0.05,0.6263477768334998,0.672531122519623,0.7014286858097042,0.6749185501918641,0.5752043757769454,0.5784931218366496,0.5361918351839521,0.6456667465157606
cc_arousal__absolute__c0.3_b0.1,0.62635596724655,0.6678296130951337,0.7017464856614621,0.6768482679279229,0.5727689627539774,0.5809064690411847,0.5363746622218171,0.6480173100243527
cc_chain_interactions__absolute__c0.1_b0.05,0.6263575649416833,0.6711100224058744,0.7027174154597694,0.6775223415874527,0.5740192333762152,0.5777177473597224,0.5365353813326913,0.6448808130700574
cc_opportunity__absolute__c0.3_b0.05,0.6263778408873966,0.669063330686574,0.703882756719415,0.6781471428652248,0.5738564200139507,0.5776336821492002,0.5366901175687306,0.6453714362086802
best__deviation__c0.1_b0.05,0.6263832461625212,0.6716946970050944,0.7026804570864684,0.6758548977216295,0.5741865152393848,0.5794701717778792,0.5345865659556387,0.6462094183515531
cc_recovery__absolute__c0.3_b0.1,0.6263998492446046,0.6724342099163244,0.6987628277183557,0.6741430432516056,0.576557079426715,0.5783271867796801,0.5413500150368892,0.6432245825826624
cc_recovery__absolute_plus_deviation__c0.3_b0.05,0.6264220830837048,0.6724015981325527,0.7026429748257415,0.6757233257031368,0.5750151402422058,0.5784409293288192,0.5354940103522919,0.6452366030011856
cc_recovery__deviation__c0.03_b0.1,0.6264242272919922,0.6725155659533155,0.6988071371951241,0.6742129809739067,0.5758799072883465,0.5797280196204939,0.5387901054442166,0.6450358745685422
cc_opportunity__absolute__c0.03_b0.1,0.6264468065245142,0.6681574347396488,0.701712459041794,0.6769823430724682,0.5746441324434802,0.5788564656415222,0.5390133430567179,0.6457614676759679
cc_arousal__absolute_plus_deviation__c0.3_b0.2,0.6264533481776533,0.6639562670885137,0.7030488437287248,0.6779026746063876,0.5683637203924617,0.5823119458809722,0.5382139508274915,0.6513760347190216
cc_chain_interactions__absolute_plus_deviation__c0.03_b0.05,0.6264770361713642,0.6716561682848783,0.7030191996639681,0.6775749196467592,0.5739755168782483,0.5778360272124713,0.53598849352341,0.645288927989815
cc_opportunity__absolute_plus_deviation__c0.03_b0.05,0.6264929428201357,0.6697570726073667,0.7035111101445308,0.6776765005002557,0.5741667566453257,0.5781230023938987,0.5363271769712843,0.6458889804782878
cc_opportunity__deviation__c0.03_b0.05,0.6264975974090247,0.6703597779365772,0.7030839391642061,0.6772472937056551,0.5742966408189596,0.5781823322330486,0.5361519657406921,0.6461612322640342
cc_arousal__absolute_plus_deviation__c0.1_b0.2,0.6265268008790071,0.665423320053745,0.7006793464447423,0.6765883003665587,0.5701048885616741,0.5828375184040672,0.5395256979028159,0.6505285344194474
cc_opportunity__absolute__c0.1_b0.05,0.6265375172114072,0.6695049198181803,0.7035123713659837,0.6778086965286209,0.5744332230057355,0.5781355160970287,0.5366020865620149,0.6457658071022858
cc_load__deviation__c0.1_b0.1,0.6265375641844155,0.6711923774876614,0.7021519352238229,0.67548747331455,0.5760254459744126,0.5780910112995832,0.5382954310441218,0.644519274946757
