fold,source,target,loss
5,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5397817623823069
5,best__absolute_plus_deviation__c0.3_b0.2,S2,0.6377146692173097
5,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5971601341789773
5,best__absolute_plus_deviation__c0.3_b0.2,S4,
5,td_trajectory__deviation__c0.3_b0.2,Q1,
5,td_trajectory__deviation__c0.3_b0.2,Q2,
5,td_trajectory__deviation__c0.3_b0.2,Q3,0.6986672705550654
5,td_trajectory__deviation__c0.3_b0.2,S1,
5,td_trajectory__deviation__c0.3_b0.2,S2,
5,td_trajectory__deviation__c0.3_b0.2,S3,
5,td_trajectory__deviation__c0.3_b0.2,S4,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q1,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q2,0.7028635338074443
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q3,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,S1,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,S2,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,S3,
5,best_plus_trajectory_proto__absolute__c0.3_b0.2,S4,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,Q1,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,Q2,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,Q3,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,S1,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,S2,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,S3,
5,best_plus_event_rhythm__deviation__c0.3_b0.2,S4,0.6350458017237288
