atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
anti05_r164_S1Q3_f0p25,anti05,164,"S1,Q3",0.25,0.5,0.47042021864725203,locked_core_unwind,1.0291064308105011e-05,-2.194888823389956e-07,2.759891570493396e-07,0.0,0.0,-0.00028242610237955157,0.0009009603193081139,0.017629072364466165
anti1_r164_S1Q3_f0p25,anti1,164,"S1,Q3",0.25,1.0,0.47042021864725203,locked_core_unwind,1.939117231160802e-05,-4.90021275554686e-07,3.6465149357012283e-07,0.0,0.0,-0.00045469433100017026,0.001521099498673989,0.0286364986864896
forward_r164_S1Q3_f0p5,forward,164,"S1,Q3",0.5,0.0,0.47042021864725203,,-3.314436687109983e-05,9.613513666454753e-08,3.698340091385071e-07,0.0,0.0,0.001800140155132364,-0.005368511853248326,-0.1933356440153382
anti025_r164_S1Q3_f0p5,anti025,164,"S1,Q3",0.5,0.25,0.47042021864725203,locked_core_unwind,9.851320019575466e-06,-1.898114262963201e-07,2.710422057901167e-07,0.0,0.0,-0.00021522907566434019,0.0007482463153132279,0.013866873408865362
anti05_r164_S1Q3_f0p5,anti05,164,"S1,Q3",0.5,0.5,0.47042021864725203,locked_core_unwind,1.85116803858396e-05,-4.3066677585159446e-07,3.567679217979496e-07,0.0,0.0,-0.00032515549703569097,0.0012279413479744927,0.02142573615127384
anti1_r164_S1Q3_f0p5,anti1,164,"S1,Q3",0.5,1.0,0.47042021864725203,locked_core_unwind,3.583257248570052e-05,-9.123563716815618e-07,4.069458116526259e-07,0.0,0.0,-0.00021753347919931804,0.001347897996169689,0.015128573885104784
forward_r164_S1Q3_f0p6,forward,164,"S1,Q3",0.6,0.0,0.47042021864725203,,-2.125364502255831e-05,4.297177770030145e-07,2.384952059438037e-07,0.0,0.0,0.0015996267745144316,-0.004252183850622537,-0.1533880154218535
anti025_r164_S1Q3_f0p6,anti025,164,"S1,Q3",0.6,0.25,0.47042021864725203,locked_core_unwind,6.840392577390228e-06,-1.584136720661055e-07,2.2930755658396099e-07,0.0,0.0,-0.0003242799931789178,0.0008703922314803325,0.01892056844557807
anti05_r164_S1Q3_f0p6,anti05,164,"S1,Q3",0.6,0.5,0.47042021864725203,locked_core_unwind,1.2489789614648266e-05,-3.6787568672639725e-07,2.9920420018588606e-07,0.0,0.0,-0.0006142620824488784,0.0016532253567631272,0.0361540133680905
anti1_r164_S1Q3_f0p6,anti1,164,"S1,Q3",0.6,1.0,0.47042021864725203,locked_core_unwind,2.3788647396034198e-05,-7.867918707707942e-07,3.9737071494709217e-07,0.0,0.0,-0.0010840856073422375,0.002937353845499896,0.06343577726490213
forward_r59_S1_f0p25,forward,59,S1,0.25,0.0,0.46990598119465143,,1.3631107782436681e-06,2.2709948628118863e-08,1.6481178536460403e-06,0.0,0.0,0.0008876303674813374,-0.0022777828622640717,-0.08264356516251091
anti025_r59_S1_f0p25,anti025,59,S1,0.25,0.25,0.46990598119465143,,1.233949541102437e-06,1.5223142079789746e-07,6.365267161997749e-07,0.0,0.0,5.6611307721193826e-05,-0.00014527248194942666,-0.005907032762060967
anti05_r59_S1_f0p25,anti05,59,S1,0.25,0.5,0.46990598119465143,,1.2769427966321384e-06,2.534193330623862e-07,4.6075321669483173e-07,0.0,0.0,0.00022552126877474488,-0.0005787189126356396,-0.021603736461138726
