fold,source,target,loss
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
5,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
5,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,0.6830129736708385
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
5,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
5,db_prebed__deviation__c0.1_b0.2,Q1,
5,db_prebed__deviation__c0.1_b0.2,Q2,
5,db_prebed__deviation__c0.1_b0.2,Q3,
5,db_prebed__deviation__c0.1_b0.2,S1,
5,db_prebed__deviation__c0.1_b0.2,S2,
5,db_prebed__deviation__c0.1_b0.2,S3,
5,db_prebed__deviation__c0.1_b0.2,S4,
