config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,stage,0.25,287,0.5675309246898171,0.5673025531534637,-0.00022837153635346663
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,stage,0.5,287,0.5675309246898171,0.5673026293953732,-0.00022829529444390317
gk6_t1_sw0p5_pw0p25_lw8,gk6_t1,0.5,0.25,8.0,stage,0.15,287,0.5675309246898171,0.5673030688329822,-0.00022785585683493537
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,stage,0.25,287,0.5675309246898171,0.5673035846686079,-0.00022734002120927688
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,no_q2,0.15,287,0.5675309246898171,0.567306186637235,-0.00022473805258216295
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,stage,0.15,287,0.5675309246898171,0.5673111169519168,-0.00021980773790031272
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,stage,0.15,287,0.5675309246898171,0.5673200291992416,-0.00021089549057551338
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,no_q2,0.25,287,0.5675309246898171,0.5673252414764157,-0.0002056832134014197
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,core_q_s23,0.35,287,0.5675309246898171,0.5673280808773068,-0.0002028438125103449
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,stage,0.15,287,0.5675309246898171,0.5673282713354343,-0.00020265335438285348
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,core_q_s23,0.5,287,0.5675309246898171,0.5673298859158679,-0.00020103877394928027
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,core_q_s23,0.35,287,0.5675309246898171,0.5673316757688446,-0.0001992489209725612
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,core_q_s23,0.5,287,0.5675309246898171,0.5673334775303328,-0.0001974471594843319
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,core_q_s23,0.35,287,0.5675309246898171,0.5673345646936269,-0.00019635999619027622
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,no_q2,0.25,287,0.5675309246898171,0.5673353464327872,-0.00019557825702998244
gk6_t1_sw0p5_pw0p25_lw20,gk6_t1,0.5,0.25,20.0,stage,0.25,287,0.5675309246898171,0.5673364990961457,-0.0001944255936714434
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,core_q_s23,0.35,287,0.5675309246898171,0.5673365090207921,-0.0001944156690250054
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,core_q_s23,0.5,287,0.5675309246898171,0.5673387267156726,-0.00019219797414449236
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,core_q_s23,0.5,287,0.5675309246898171,0.5673453236329886,-0.00018560105682852157
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,core_q_s23,0.25,287,0.5675309246898171,0.5673476689226097,-0.0001832557672074575
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,stage,0.15,287,0.5675309246898171,0.5673490105971457,-0.00018191409267143133
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,core_q_s23,0.25,287,0.5675309246898171,0.5673512458340043,-0.00017967885581282594
