model,k,C,scaler,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
selectk_logistic_feature_only,20,0.003,robust,chrono_last_30,0.659725384301524,0.6765079116618257,0.6719887053845532,0.6840807840126395,0.6388936528306325,0.6588176484650079,0.6509141330085565,0.6368748547474535
selectk_logistic_feature_only,80,0.003,robust,chrono_last_30,0.6600161672685928,0.6860394628051499,0.7003484342147153,0.7616648170314565,0.5882798714657933,0.6020966186489229,0.60808980616904,0.6735941605450727
selectk_logistic_feature_only,30,0.01,standard,chrono_last_25,0.6600731905362591,0.7184230981444037,0.6737055454196111,0.7210007853208591,0.6081255490575513,0.6139091625743132,0.6262258144147197,0.6591223788223559
selectk_logistic_feature_only,20,0.01,standard,chrono_last_25,0.6603007806964166,0.7210339613861451,0.6797462881962786,0.7121613982244682,0.6091662528722664,0.620731724774269,0.6239621698796007,0.6553036695418883
selectk_logistic_feature_only,10,0.03,robust,chrono_last_30,0.6603063878675073,0.685654441868863,0.6934566930509296,0.6645292135293744,0.6064889674908686,0.64901027851495,0.6315142990999723,0.6914908215175939
selectk_logistic_feature_only,20,0.3,robust,chrono_last_30,0.660517271474084,0.6778160203971298,0.7093975430535427,0.7229449642329161,0.5888677990366626,0.6579637058280583,0.6006283091240464,0.6660025586462324
selectk_logistic_feature_only,10,0.01,robust,chrono_last_30,0.6609549504952696,0.6805649681640799,0.6825534187515206,0.664245929441425,0.6268290520528673,0.6482281624582915,0.6423351085488228,0.6819280140498808
selectk_logistic_feature_only,50,0.1,robust,chrono_last_20,0.6611903584296791,0.7128669301846428,0.7064072775195136,0.828564278985687,0.5210839262909218,0.6316945030866701,0.6167660696321801,0.6109495233081387
selectk_logistic_feature_only,50,0.1,standard,chrono_last_20,0.661235119593225,0.713185669554092,0.7069065694153696,0.8077071711036327,0.530810272875375,0.6333863948524008,0.620881361502519,0.6157683978491868
selectk_logistic_feature_only,50,0.01,standard,chrono_last_30,0.6612398232758517,0.6657451795648694,0.6913521087821201,0.730698573954511,0.6145899207210083,0.6475336555155161,0.6131261011312622,0.6656332232616745
selectk_logistic_feature_only,20,0.01,standard,chrono_last_20,0.6612976512117338,0.70749774681165,0.696968958183296,0.7350212650546218,0.5942502161442483,0.6146688777681556,0.639946824574371,0.6407296699457942
selectk_logistic_feature_only,20,0.3,standard,chrono_last_30,0.6613001231148373,0.6686296000475482,0.7144831615566469,0.7256927730249128,0.5891658169974745,0.6592206125453806,0.6038990892883683,0.6680098083435304
selectk_logistic_feature_only,10,0.01,standard,chrono_last_30,0.6615793145942573,0.6864093502080706,0.6861942028927458,0.6702935083398022,0.6229514006546555,0.6521767361216119,0.630129978110401,0.6829000258325142
selectk_logistic_feature_only,30,0.1,robust,chrono_last_30,0.6615977588870158,0.6754583421528099,0.687394472204902,0.7656214822936741,0.5859647352553399,0.6544959948025941,0.5968109640587923,0.6654383214409981
selectk_logistic_feature_only,10,0.03,standard,chrono_last_30,0.6616444314294866,0.6890025688451074,0.695522248088223,0.6696582531944881,0.6030897988529595,0.6566945858229498,0.6261462393969196,0.691397325805759
selectk_logistic_feature_only,50,0.01,robust,chrono_last_30,0.6617067757080083,0.679041275103068,0.684616085563707,0.7903892055639737,0.586357666554399,0.6371337492119176,0.5961156411935756,0.6582938067654166
selectk_logistic_feature_only,80,0.03,robust,chrono_last_25,0.6617141985812901,0.7237292073745567,0.7261330456170213,0.8290639380738434,0.5310636922946337,0.5999359123731437,0.590536488893689,0.6315371054421426
selectk_logistic_feature_only,80,0.003,standard,chrono_last_25,0.6617633080777884,0.6926178368376186,0.6776213600670612,0.7379742548412168,0.6262601814774499,0.6111504158624071,0.6331901555826724,0.6535289518760918
