model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
rf300,noflat_no_routine,520,200,chrono_last_30,0.6406180566081815,0.6622702658417217,0.6842898158356047,0.6427911121113622,0.5876817710368593,0.6484764626474583,0.6186489671821169,0.6401680016021476
rf100,noflat_no_routine,520,200,chrono_last_30,0.6411775656148293,0.6578658921395942,0.6940881486979291,0.6493336313197136,0.5817726119031512,0.6452617974130792,0.6178109861289678,0.6421098917013696
extratrees300,noflat_no_routine,520,50,chrono_last_25,0.6415111475855533,0.7277782674168889,0.6593598015489426,0.7000815489544746,0.5453705153438185,0.6159933327951104,0.616548172662505,0.625446394377133
rf100,noflat_no_routine,520,100,chrono_last_20,0.6416668946179312,0.6754727204618329,0.6884882695004335,0.6843648439052339,0.5463792866684984,0.6479070412453033,0.6405069788432317,0.6085491217009847
rf100,noflat_no_routine,520,50,chrono_last_20,0.6423073472851542,0.6871746810171203,0.7096663211175982,0.68874921976492,0.5289409876544381,0.6416761344338306,0.6356517030384943,0.6042923839696771
extratrees100,noflat_no_routine,520,20,chrono_last_25,0.6425098408957658,0.7431028159368337,0.6603415796261242,0.7029214487825707,0.5405867153978248,0.5946865972334847,0.6020649912756678,0.6538647380178552
extratrees100,noflat_no_routine,520,50,chrono_last_25,0.6429556093843305,0.726525366735154,0.6636961227878142,0.7071356283430571,0.5417342066993287,0.6175272373026063,0.6159428770544235,0.6281278267679294
rf300,noflat_no_routine,520,100,chrono_last_20,0.6430491131628767,0.685793809229752,0.6849777354372347,0.6832654730681975,0.5481375071944647,0.6426053448121518,0.6476188776413032,0.6089450447570326
rf300,noflat_no_routine,520,20,chrono_last_20,0.6433502164828021,0.6836642196995298,0.6849855629637732,0.7349018326499992,0.5323678332559111,0.6199963720459837,0.6204675057205771,0.6270681890438404
rf300,noflat_no_routine,520,50,chrono_last_20,0.6436036123136745,0.6953051794247104,0.7048878848715993,0.693974399198999,0.5315767347448642,0.6412217842280336,0.6362869062317967,0.6019723974957188
rf100,noflat_no_routine,520,20,chrono_last_20,0.6437703102071548,0.6767310680567121,0.6916083550866365,0.7387099118928347,0.531979083890499,0.6225110520184719,0.616858413957137,0.6279942865477919
