target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,student_policy_score
Q1,student_conservative_tail_score,top_all,0.04,18,-0.705119669562078,-0.039173314975671,0.4444444444444444,4,1,3,4,14,-0.1467591566535329,0.5428805977832551,-0.5583605129085452,-1.0285144011196923,-2.8978417336364823,-3.6712793840722857
Q1,student_conservative_tail_score,top_all,0.06,27,-0.37001735578543127,-0.013704346510571529,0.48148148148148145,8,4,4,9,18,-0.4714720610716318,1.3835250919348594,0.10145470528620054,0.07333058567395852,-2.358656631849347,-3.1020035860681894
Q1,student_conservative_tail_score,top_all,0.08,36,-0.2632603340500526,-0.007312787056945906,0.5277777777777778,9,4,5,10,26,-1.1459861116226207,1.3615681117272935,0.8827257775725681,0.6483155487922942,-2.6547525347982024,-3.411537072758443
Q1,student_conservative_tail_score,top_all,0.1,45,-0.4709327669893514,-0.010465172599763364,0.4888888888888889,9,5,4,14,31,-0.7926522496653163,0.9406196772346024,0.32171948267596495,0.3420292924573,-2.1530169076959225,-2.821069729720193
Q1,student_conservative_tail_score,top_all,0.14,63,-0.22473128425373817,-0.0035671632421228282,0.5238095238095238,9,4,5,22,41,-0.9203522634543397,0.9305217915313719,0.6956209792006016,0.7475601168413359,-2.673174596516061,-3.4706115213440483
Q1,student_conservative_tail_score,top_all,0.18,81,-0.04507853817067198,-0.0005565251626008886,0.5185185185185185,9,5,4,33,48,-1.3829680023659014,1.8555587652186554,1.3378894641952295,0.7210170269318176,-1.3232340415276784,-1.7529509760759912
Q1,student_conservative_tail_score,top_decisive,0.01,3,0.0014174269437192688,0.00047247564790642294,0.6666666666666666,1,1,0,0,3,-0.09703469532928763,0.5113642010115992,0.0984521222730069,0.19252838207728531,0.48846184128033354,0.46828973037800414
Q1,student_conservative_tail_score,top_decisive,0.02,7,-0.11794160683899146,-0.01684880097699878,0.5714285714285714,2,1,1,0,7,0.04130862851733385,0.6558216847104018,-0.15925023535632532,-0.24282551045357267,-0.5479617402590626,-0.8265886617429459
Q1,student_conservative_tail_score,top_decisive,0.04,13,-0.8911044427324889,-0.06854649559480684,0.38461538461538464,4,1,3,3,10,-0.06944323888852828,0.6967219198353566,-0.8216612038439606,-1.1793244628188655,-3.212002925744377,-4.043033030346404
Q1,student_conservative_tail_score,top_decisive,0.06,20,-0.6646719588497025,-0.03323359794248513,0.45,5,2,3,6,14,-0.5285748808160339,1.3939812349813276,-0.13609707803366866,-0.09763192976947906,-2.4145691291384344,-3.0528240956815678
Q1,student_conservative_tail_score,top_decisive,0.08,27,-0.16792016687357758,-0.006219265439762133,0.5185185185185185,7,3,4,9,18,-0.4364865788397337,1.4526729930144822,0.2685664119661561,0.18487740410788975,-2.2739527007931524,-3.0003367298106305
Q1,student_conservative_tail_score,top_decisive,0.1,34,-0.2227658929404578,-0.006551938027660523,0.5294117647058824,7,2,5,12,22,-0.7974184055329823,0.9429291329574258,0.5746525125925245,0.6094334054460386,-3.1254000553414114,-3.9939824858067987
Q1,student_conservative_tail_score,top_decisive,0.14,47,0.10939262375942443,0.0023275026331792434,0.5531914893617021,9,5,4,21,26,-0.7611984354870012,1.6330538460543,0.8705910592464257,0.5331061565115581,-1.3389728685765752,-1.883393950755836
Q1,student_conservative_tail_score,top_decisive,0.18,61,0.02792612970284669,0.00045780540496469983,0.5245901639344263,9,5,4,27,34,-1.6129388516993104,1.4893917896254494,1.640864981402157,1.1017013742333035,-1.1039944320060189,-1.457020475192299
